date,country,operator,channel,pod_fill_rate,endpoint_requests,bid_requests,bid_responses,bid_wons,impressions,revenue,requested_pod_duration,filled_pod_duration,delivered_pod_duration
19-10-22,BR,Op_002,Channel_002,0.14,12060,1084528,91788,17125,7181,56.08,92.07,32.18,12.6
19-10-22,MX,Op_002,Channel_002,0.35,13050,1181520,199335,53778,18735,97.68,277.89,236.16,96.57
20-10-22,BR,Op_002,Channel_002,0.12,23246,2213344,175218,31526,13190,108.46,195.46,58.42,23.5
20-10-22,MX,Op_002,Channel_002,0.37,8528,800488,120688,35850,13472,70.88,192.6,156.74,71.52
21-10-22,BR,Op_002,Channel_002,0.1,35082,3353571,254883,46923,20397,141.21,294.39,70.02,30.6
21-10-22,MX,Op_002,Channel_002,0.29,11460,1110528,162105,52143,15693,82.68,298.65,230.91,86.13
22-10-22,BR,Op_002,Channel_002,0.11,14840,1405108,119790,25222,9342,84.44,97.16,29.15,10.71
22-10-22,MX,Op_002,Channel_002,0.23,9422,917312,141682,33102,10482,55.76,200.06,128.38,46.46
23-10-22,BR,Op_002,Channel_002,0.1,31844,2967368,269610,49518,18348,190.58,191.12,50.04,18.5
23-10-22,MX,Op_002,Channel_002,0.23,5878,532472,82050,19156,5811,31.91,92.79,60.03,21.23
24-10-22,BR,Op_002,Channel_002,0.11,10681,1085464,94414,18624,7162,68.95,104.73,29.88,11.94
24-10-22,MX,Op_002,Channel_002,0.28,8426,843872,131336,28070,10432,57.3,206.14,135.82,57.66
25-10-22,BR,Op_002,Channel_002,0.11,11652,1091116,92073,18922,7030,75.6,96.03,27.87,10.62
25-10-22,MX,Op_002,Channel_002,0.37,7268,679368,142628,36240,12626,63.76,191.76,169.44,70.96
29-06-22,ES,No viewership data,No viewership data,0,1,18,2,1,0,0,120,30,0
06-01-22,GB,Op_008,Channel_002,0.66,10,730,182,22,22,0.44,183.2,120,120
12-01-22,GB,Op_008,Channel_002,0,2,98,6,2,0,0,122,40,0
30-01-22,GB,Op_008,Channel_002,0,3,147,6,6,0,0,183,180,0
04-02-22,GB,Op_008,Channel_002,0,4,244,134,8,0,0,122,120,0
17-02-22,GB,Op_008,Channel_002,0.9,3,411,330,24,24,0.48,366,330,330
19-02-22,GB,Op_008,Channel_002,0.49,6,438,93,18,12,0.24,183,180,90
23-02-22,GB,Op_008,Channel_002,0.66,6,366,147,15,12,0.27,183,150,120
24-02-22,GB,Op_008,Channel_002,0.83,4,244,108,8,8,0.14,122,101,101
25-02-22,GB,Op_008,Channel_002,0.87,6,546,327,21,21,0.45,274.5,240,240
01-03-22,GB,Op_008,Channel_002,0,3,363,264,15,0,0,366,360,0
04-03-22,GB,Op_008,Channel_002,0.16,2,122,16,3,1,0.01,61,40,10
07-03-22,GB,Op_008,Channel_002,0.85,3,179,123,8,8,0.14,61,51.67,51.67
08-03-22,GB,Op_008,Channel_002,0,3,87,42,3,0,0,93,90,0
09-03-22,GB,Op_008,Channel_002,0.98,1,54,31,2,2,0.04,61,60,60
12-03-22,GB,Op_008,Channel_002,0.75,1,106,51,6,5,0.08,122,122,92
13-03-22,GB,Op_008,Channel_002,0.33,3,162,63,9,3,0.06,183,180,60
14-03-22,GB,Op_008,Channel_002,0,1,54,49,3,0,0,61,50,0
26-03-22,GB,Op_008,Channel_002,0.98,2,132,77,5,5,0.11,61,60,60
10-04-22,GB,Op_008,Channel_002,0.92,1,66,60,3,3,0.06,61,56,56
12-04-22,GB,Op_008,Channel_002,0.96,2,260,76,12,12,0.2,244,234,234
20-04-22,GB,Op_008,Channel_002,0,4,328,248,12,0,0,153,138,0
30-04-22,GB,Op_008,Channel_002,0.66,3,207,156,9,6,0.12,183,180,120
20-05-22,GB,Op_008,Channel_002,0,1,130,120,6,0,0,120,110,0
21-05-22,GB,Op_008,Channel_002,0.97,24,2160,1953,102,102,2.01,247.5,240,240
22-05-22,GB,Op_008,Channel_002,1,3,198,156,9,9,0.18,180,180,180
23-05-22,GB,Op_008,Channel_002,0.33,2,208,177,11,4,0.08,90,85,30
26-05-22,GB,Op_008,Channel_002,0,3,210,168,9,0,0,180,180,0
30-05-22,GB,Op_008,Channel_002,0.92,2,274,100,10,10,0.2,240,220,220
05-06-22,GB,Op_008,Channel_002,0.67,2,276,152,8,6,0.12,240,220,160
12-06-22,GB,Op_008,Channel_002,0.08,1,137,96,5,1,0.02,120,110,10
16-06-22,GB,Op_008,Channel_002,0.33,1,138,121,6,2,0.04,120,110,40
17-06-22,GB,Op_008,Channel_002,0.42,3,210,201,12,6,0.12,180,165,75
18-06-22,GB,Op_008,Channel_002,0.99,7,891,664,42,45,0.89,111.43,102.14,110
19-06-22,GB,Op_008,Channel_002,0.1,6,692,620,30,4,0.08,200,176.66,20
21-06-22,GB,Op_008,Channel_002,0.83,36,4016,3118,202,188,3.72,193.34,170.56,160.56
25-06-22,GB,Op_008,Channel_002,0.22,6,420,286,18,4,0.08,120,120,26.66
28-06-22,GB,Op_008,Channel_002,0.78,27,3114,1509,138,117,2.31,300,279.99,234.99
29-06-22,GB,Op_008,Channel_002,1,1,138,78,5,5,0.1,120,120,120
05-07-22,GB,Op_008,Channel_002,0,2,276,226,14,0,0,240,230,0
07-07-22,GB,Op_008,Channel_002,0,2,232,129,8,0,0,91.5,90,0
09-07-22,GB,Op_008,Channel_002,0.41,2,308,252,22,10,0.2,244,240,100
10-07-22,GB,Op_008,Channel_002,0,3,234,69,6,0,0,183,120,0
16-07-22,GB,Op_008,Channel_002,0,2,324,126,12,0,0,244,240,0
19-07-22,GB,Op_008,Channel_002,0,3,258,81,15,0,0,183,180,0
23-07-22,GB,Op_008,Channel_002,0,3,510,162,15,0,0,366,360,0
27-07-22,GB,Op_008,Channel_002,0.25,2,340,126,11,4,0.08,122,120,30
28-07-22,GB,Op_008,Channel_002,0.41,1,170,98,6,4,0.08,122,100,50
31-07-22,GB,Op_008,Channel_002,0.16,3,510,104,17,3,0.06,122,116.67,20
01-08-22,GB,Op_008,Channel_002,0,4,512,168,14,0,0,183,180,0
05-08-22,GB,Op_008,Channel_002,0.48,3,510,180,13,9,0.18,122,85,58.33
